red,orange,yellow,green,blue,purple,pink,grey,white,black,brown
red,orange,yellow,green,blue,purple,pink,gray,white,black,brown
indianred,darkorange,gold,darkolivegreen,cyan,darkviolet,darkmagenta,darkslategray,floralwhite,,beige
maroon,orangered,lemonchiffon,darkseagreen,aquamarine,indigo,darksalmon,dimgray,ghostwhite,,chocolate
darkred,peru,lightgoldenrodyellow,forestgreen,azure,lavender,deeppink,darkgray,ivory,,darkkhaki
tomato,peachpuff,lightyellow,darkgreen,aliceblue,lavenderblush,magenta,lightgray,navajowhite,,khaki
firebrick,,lime,greenyellow,cadetblue,mediumpurple,hotpink,lightslategray,snow,,rosybrown
,,darkgoldenrod,honeydew,cornflowerblue,plum,lightcoral,silver,antiquewhite,,saddlebrown
,,yellowgreen,lawngreen,crimson,blueviolet,lightpink,slategray,whitesmoke,,sandybrown
,,papayawhip,lightgreen,darkblue,violet,lightsalmon,gainsboro,seashell,,tan
,,palegoldenrod,lightseagreen,darkcyan,thistle,mistyrose,,oldlace,,wheat
,,moccasin,limegreen,darkslateblue,mediumorchid,coral,,mintcream,,sienna
,,goldenrod,mediumseagreen,darkturquoise,darkorchid,salmon,,linen,,burlywood
,,,mediumspringgreen,deepskyblue,,palevioletred,,cornsilk,,
,,,olive,dodgerblue,,orchid,,blanchedalmond,,
,,,palegreen,lightblue,,mediumvioletred,,bisque,,
,,,seagreen,lightcyan,,,,,,
,,,springgreen,lightskyblue,,,,,,
,,,teal,lightsteelblue,,,,,,
,,,olivedrab,mediumaquamarine,,,,,,
,,,chartreuse,mediumblue,,,,,,
,,,,mediumslateblue,,,,,,
,,,,mediumturquoise,,,,,,
,,,,midnightblue,,,,,,
,,,,navy,,,,,,
,,,,paleturquoise,,,,,,
,,,,powderblue,,,,,,
,,,,royalblue,,,,,,
,,,,skyblue,,,,,,
,,,,slateblue,,,,,,
,,,,steelblue,,,,,,
,,,,turquoise,,,,,,